#Time [Myr]	  Mass [Msun]
0.0   		  1.2e+02
5.67011225e-02    1.19758660e+02
1.23819033e+00	  1.08679760e+02
2.36628096e+00	  8.75573530e+01
2.55116782e+00	  8.01195650e+01
3.01839643e+00	  4.33568490e+01
3.24912980e+00	  3.04627680e+01
3.26695450e+00	  2.96829520e+01
3.26782890e+00	  2.96470660e+01
3.26783785e+00	  2.96466910e+01
3.27055243e+00	  2.95257260e+01
3.27065713e+00	  2.95208120e+01
3.27076679e+00	  2.95156470e+01
3.27100046e+00	  2.95045760e+01
3.27155256e+00	  2.94780110e+01
3.27187553e+00	  2.94621130e+01
3.27453916e+00	  2.93136370e+01
3.27715900e+00	  2.91407120e+01
3.27911708e+00	  2.90005940e+01
3.28270439e+00	  2.87288240e+01
3.28836106e+00	  2.83077280e+01
3.29302979e+00	  2.80419120e+01
3.29783618e+00	  2.78149730e+01
3.29947038e+00	  2.77413130e+01
3.30141034e+00	  2.76551820e+01
3.30692738e+00	  2.74149610e+01
3.32265156e+00	  2.67415070e+01
3.34566089e+00	  2.57540680e+01
3.36409074e+00	  2.49910510e+01
3.36428769e+00	  2.49829430e+01
3.36488034e+00	  2.49588310e+01
3.36518959e+00	  2.49462970e+01
3.51776526e+00	  2.04846020e+01
3.58255025e+00	  1.94371670e+01
3.61258857e+00	  1.90558690e+01
3.62650484e+00	  1.88963030e+01
3.63277285e+00	  1.88274210e+01
3.63631375e+00	  1.87892040e+01
3.63847465e+00	  1.87661020e+01
3.64077895e+00	  1.87415860e+01
3.64135403e+00	  1.87354820e+01
3.64185278e+00	  1.87301910e+01
3.64228639e+00	  1.87255880e+01
3.64266901e+00	  1.87215350e+01
3.64329485e+00	  1.87148890e+01
3.64396643e+00	  1.87077430e+01
3.64456324e+00	  1.87013760e+01
3.64523435e+00	  1.86941620e+01
3.64573821e+00	  1.86886860e+01
3.64577118e+00	  1.86883270e+01
3.64578907e+00	  1.86881310e+01
3.64582781e+00	  1.86877080e+01
3.64657803e+00	  1.86793830e+01
3.64937666e+00	  1.86466590e+01
3.64946086e+00	  1.86456330e+01
3.65296625e+00	  1.86008920e+01
3.65301411e+00	  1.86002420e+01
3.65303326e+00	  1.85999810e+01
3.65314435e+00	  1.85984530e+01
3.65316297e+00	  1.85981880e+01
3.65316498e+00	  1.85981590e+01
3.65316517e+00	  1.85981560e+01
3.65316519e+00	  1.85981560e+01
3.65316520e+00	  1.85981560e+01
3.65316521e+00	  1.85981560e+01
